	I	O	P	pmid	y
443	METHODS: A total of 27,000 CAD patients with hypertension will be randomized at 1,500 primary care sites to receive either a calcium antagonist-based (verapamil) or beta-blocker/diuretic-based (atenolol/hydrochlorothiazide) antihypertensive care strategy.	OBJECTIVES: The primary objective of the International Verapamil SR/Trandolapril Study (INVEST) is to compare the risk for adverse outcomes (all-cause mortality, nonfatal myocardial infarction [MI] or nonfatal stroke) in hypertensive patients with coronary artery disease (CAD) treated with either a calcium antagonist-based or a noncalcium antagonist-based strategy.	OBJECTIVES: The primary objective of the International Verapamil SR/Trandolapril Study (INVEST) is to compare the risk for adverse outcomes (all-cause mortality, nonfatal myocardial infarction [MI] or nonfatal stroke) in hypertensive patients with coronary artery disease (CAD) treated with either a calcium antagonist-based or a noncalcium antagonist-based strategy.	9809930	-1
444	Following a 4- to 5-week placebo run-in period, patients with sitting diastolic blood pressure (BP) of 90 to 99 mm Hg received candesartan cilexetil 16 mg (n = 123) or amlodipine 5 mg (n = 128) once daily. After 4 weeks of double-blind treatment, patients were uptitrated to candesartan cilexetil 32 mg or amlodipine 10 mg once daily.	Comparison of Candesartan and Amlodipine for Safety, Tolerability and Efficacy (CASTLE) Study Investigators..	Comparative effects of candesartan cilexetil and amlodipine in patients with mild systemic hypertension.	11249891	-1
445	Angioedema and antihypertensive therapy..	Angioedema and antihypertensive therapy..	Angioedema and antihypertensive therapy..	11293942	-1
446	OBJECTIVE: To review reports of angiooedema and urticaria associated with angiotensin converting enzyme inhibitors (ACEI) in the New Zealand Centre for Adverse Reactions Monitoring and Intensive Medicines Monitoring Programme (IMMP) database.	The total number of patients is unknown, but cohorts of patients on captopril, enalapril and lisinopril in the IMMP were 16342, 25686 and 11235, totalling 53263 patients.	Severe angiooedema occurred in 9 patients with early-onset angiooedema and 6 with late-onset angiooedema.	8911875	-1
447	Rapid life-threatening hyperkalemia after addition of amiloride HCl/hydrochlorothiazide to angiotensin-converting enzyme inhibitor therapy.. STUDY OBJECTIVE: To highlight the dangers of a precipitous rise in serum potassium levels in patients at risk for renal insufficiency, already receiving an angiotensin-converting enzyme (ACE) inhibitor, who are given a potassium-sparing diuretic.	If impossible, weekly monitoring of both renal function and serum potassium should be performed.	RESULTS: All five patients had diabetes and were older than 50 years of age.	9360571	-1
448	After stratification for centre, sex, and previous cardiovascular complications, 4695 patients were randomly assigned to nitrendipine 10-40 mg daily, with the possible addition of enalapril 5-20 mg daily and hydrochlorothiazide 12.5-25.0 mg daily, or matching placebos.	Fatal and non-fatal stroke combined was the primary endpoint.	The Systolic Hypertension in Europe (Syst-Eur) Trial Investigators.. BACKGROUND: Isolated systolic hypertension occurs in about 15% of people aged 60 years or older.	9297994	-1
449	Twenty-four hour ABPM was performed on two consecutive days (48 h) after a 4 week single blind placebo run-in period and repeated after an 8 week double-blind period during which 20 patients were randomized to treatment with trandolapril (2-4 mg once-daily) and 21 patients to matching placebo.	When compared to placebo by 2 h time blocks, throughout the 2 days of monitoring, trandolapril produced clinically significant decreases in systolic and diastolic BP for 30 and 28 h following dosing.	Since some once-daily agents are more effective than others in maintaining antihypertensive effects toward the end of the 24-h dosing interval this study was designed to evaluate the duration of antihypertensive action of trandolapril using 48 h ambulatory blood pressure monitoring (ABPM) in 41 patients with mild-to-moderate essential hypertension.	8867568	-1
450	A total of 368 hypertensive male patients were randomly assigned to monotherapies of either isradipine, methyldopa or placebo.	Quality of life in normotensives compared to hypertensive men treated with isradipine or methyldopa as monotherapy or in combination with captopril: the LOMIR-MCT-IL study.. Quality of life (QOL) measures were assessed in a multi-center, double-blind, case-controlled trial of 1 year's duration. QOL assessments in the hypertensives and in 155 normotensives included a self-structured scale to measure the subjective perception of QOL, the severity, desirability and controllability of recent critical life events, semantic memory, physical dysfunction, sleep disorders, sexual difficulties, depression and work-related stress.	Quality of life in normotensives compared to hypertensive men treated with isradipine or methyldopa as monotherapy or in combination with captopril: the LOMIR-MCT-IL study.. Quality of life (QOL) measures were assessed in a multi-center, double-blind, case-controlled trial of 1 year's duration.	8867566	-1
451	Fosinopril (10 mg/day) was administered over 12 weeks to 11 microalbuminuric patients with non-insulin-dependent diabetes mellitus (NIDDM).	As increased cVCAM-1 levels are pathognomonic for diabetics with microangiopathy, we investigated the effects of ACE-I on plasma levels of cVCAM-1, intercellular adhesion molecule (cICAM-1), and cE-selectin in microalbuminuric diabetics.	Fosinopril decreases levels of soluble vascular cell adhesion molecule-1 in borderline hypertensive type II diabetic patients with microalbuminuria.. Angiotensin converting enzyme inhibitors (ACE-I) are a mainstay for the treatment of heart failure, and of diabetic microalbuminuria.	10090351	-1
452	Acute coronary findings at autopsy in heart failure patients with sudden death: results from the assessment of treatment with lisinopril and survival (ATLAS) trial.. BACKGROUND: Sudden unexpected death frequently occurs in chronic heart failure.	Acute coronary findings at autopsy in heart failure patients with sudden death: results from the assessment of treatment with lisinopril and survival (ATLAS) trial.. BACKGROUND: Sudden unexpected death frequently occurs in chronic heart failure.	Of the autopsied group with acute MI, 97% (31 of 32 patients) with SD and 40% (6 of 15 patients) with myocardial failure did not have the MI diagnosed during life.	10931799	-1
453	The liver and lovastatin..	The liver and lovastatin..	The cholesterol-lowering agents, known as statins, have been in use for 15 years and are among the most commonly prescribed drugs.	12062731	-1
454	Highlights of the 20th congress of the European society of cardiology..	Highlights of the 20th congress of the European society of cardiology..	Highlights of the 20th congress of the European society of cardiology..	10069777	-1
455	Does combination therapy with a calcium channel blocker and an ACE inhibitor have additive effects on blood pressure reduction?.	Does combination therapy with a calcium channel blocker and an ACE inhibitor have additive effects on blood pressure reduction?.	Does combination therapy with a calcium channel blocker and an ACE inhibitor have additive effects on blood pressure reduction?.	10824365	-1
456	Forty-four patients with biopsy-proven IgAN, proteinuria > or = 0.5 g/d, and serum creatinine (SCr) < or = 1.5 mg/dl were randomly assigned either to receive enalapril (n = 23) or to a control group (n = 21) in whom BP was controlled with antihypertensives other than ACE inhibitors.	Primary outcome was renal survival estimated by a 50% increase in baseline SCr.	Forty-four patients with biopsy-proven IgAN, proteinuria > or = 0.5 g/d, and serum creatinine (SCr) < or = 1.5 mg/dl were randomly assigned either to receive enalapril (n = 23) or to a control group (n = 21) in whom BP was controlled with antihypertensives other than ACE inhibitors.	12761258	-1
457	Patients with suspected acute MI were randomized to treatment with lisinopril (2.5 to 5 up to 10 mg/d) with or without nitroglycerin (5 to 20 microg I.V.	The main end point was mortality at 6 weeks, and the secondary end point was a combined evaluation of mortality and severe left ventricular dysfunction.	Effect of the ACE inhibitor lisinopril on mortality in diabetic patients with acute myocardial infarction: data from the GISSI-3 study.. BACKGROUND: Mortality of diabetic patients with acute myocardial infarction (MI) remains high despite recent improvement in their management.	9416888	1
458	METHODS: After a 2 to 4 week run-in period, 116 adult outpatients were randomized to receive valsartan 40, 80 or 160 mg twice daily, the ACE inhibitor lisinopril 5/10 mg once daily, or placebo.	At baseline and after 28 days of treatment, cardiac hemodynamic parameters were measured.	OBJECTIVE: To evaluate the effect on cardiac hemodynamic parameters of valsartan in patients with chronic stable congestive heart failure previously untreated with ACE inhibitors.	9740480	1
